Data Rate (kbps),Data Rate (kbps)2,Data Rate (kbps)3,Packet Interval (ms),Packet Interval (ms)2,Packet Interval (ms)3,Packet Length (bytes),Packet Length (bytes)2,Packet Length (bytes)3
,,,0.193,0.535,0.468,1514,1514,1514
,,,0.955,0.223,0.589,1514,1514,1514
,,,0.137,0.227,0.14,1514,1203,1514
,,,4.141,0.175,0.457,1264,909,1514
,,,9.355,13.13,0.214,506,102,1514
,,,17.099,26.605,0.355,84,1514,179
,,,0.532,0.84,3.964,1514,1514,1514
,,,0.191,0.575,0.076,1514,1514,1514
,,,0.202,0.478,0.145,1514,1514,1094
,,,0.198,0.038,15.598,1514,1514,985
,,,0.192,0.276,10.08,1514,1514,1514
,,,0.261,0.087,0.478,1246,160,1514
,,,1.768,12.002,0.357,84,76,197
,,,15.052,28.544,45.859,1514,76,1514
,,,4.624,0.581,0.227,1514,435,1514
,,,0.557,0.219,0.204,1514,102,189
,,,0.422,0.223,8.2,1514,76,985
,,,9.58,0.222,49.85,1514,1514,1514
,,,0.292,0.221,0.563,1514,1514,1514
,,,0.203,0.108,0.322,799,1514,1027
,,,0.199,13.33,17.351,76,1514,985
,,,0.286,2.884,11.473,1078,1514,1514
,,,0.134,15.172,0.291,557,355,1127
,,,9.13,2.955,29.782,975,128,1514
,,,2.236,0.577,0.396,975,1078,1514
,,,18.009,0.228,0.325,975,76,179
,,,2.326,0.081,19.413,975,1514,985
,,,0.647,0.128,10.329,975,1514,1514
,,,0.09,0.167,0.334,975,1514,1038
,,,0.318,0.285,44.177,975,1514,1514
,,,0.059,0.037,0.307,975,1514,700
,,,0.525,0.106,9.695,975,1514,985
